Purpose,Sector,Instrument,Action,Price,Lots/grams,Total Spend,Action Date,Notes,Approach
Long Term Investing,Stock,KSIX,BUY,264,38,"Rp1,003,200.00",6 Oct 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,Deep Value
Long Term Investing,Stock,SCCO,BUY,2340,9,"Rp2,106,000.00",6 Oct 2025,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,INCI,BUY,624,49,"Rp3,057,600.00",6 Oct 2025,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,UCID,BUY,470,64,"Rp3,008,000.00",6 Oct 2025,UCIDPT Uni-Charm Indonesia TbkD,Deep - Growth Value
Long Term Investing,Stock,ASGR,BUY,1182,20,"Rp2,364,000.00",6 Oct 2025,ASGRASTRA GRAPHIA TBKD,Dividend - Growth Value
Long Term Investing,Stock,TAPG,SELL,"1,885",5,"Rp942,500.00",9 Oct 2025,TAPGTRIPUTRA AGRO PERSADA TBKD,
Long Term Investing,Stock,KSIX,BUY,256,40,"Rp1,024,000.00",10 Oct 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,Deep Value
Long Term Investing,Stock,SCCO,BUY,2350,9,"Rp2,115,000.00",10 Oct 2025,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,INCI,BUY,625,96,"Rp6,000,000.00",10 Oct 2025,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,BAYU,BUY,1310,16,"Rp2,096,000.00",10 Oct 2025,BAYUBAYU BUANA TRAVEL SERVICED,Dividend - Growth Value
Long Term Investing,Stock,UCID,BUY,456,132,"Rp6,019,200.00",10 Oct 2025,UCIDPT Uni-Charm Indonesia TbkD,Deep - Growth Value
Long Term Investing,Stock,LPKR,BUY,100,200,"Rp2,000,000.00",10 Oct 2025,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,ASGR,BUY,1155,18,"Rp2,079,000.00",10 Oct 2025,ASGRASTRA GRAPHIA TBKD,Dividend - Growth Value
Long Term Investing,Stock,RALS,SELL,394,32,"Rp1,260,800.00",13 Oct 2025,RALSRAMAYANA LESTARI SENTOSAD,
Long Term Investing,Stock,SMGR,SELL,"2,560",1,"Rp256,000.00",13 Oct 2025,SMGRSEMEN INDONESIA (PERSERO)TBKD,
Long Term Investing,Stock,ACES,SELL,422,5,"Rp211,000.00",13 Oct 2025,ACESACE HARDWARE INDONESIA TBKD,
Long Term Investing,Stock,TLKM,SELL,"3,040",2,"Rp608,000.00",13 Oct 2025,TLKMTELKOM INDONESIA(PERSERO) TBKD,
Long Term Investing,Stock,AKRA,SELL,"1,105",1,"Rp110,500.00",13 Oct 2025,AKRAAKR CORPORINDO TBKD,
Long Term Investing,Stock,SIDO,SELL,515,3,"Rp154,500.00",13 Oct 2025,SIDOINDUSTRI JAMU & FARMASI SIDO MUNCULD,
Long Term Investing,Stock,XISR,SELL,425,21,"Rp892,500.00",13 Oct 2025,,
Long Term Investing,Stock,XIIT,SELL,512,18,"Rp921,600.00",13 Oct 2025,,
Long Term Investing,Stock,XIHD,SELL,605,16,"Rp968,000.00",13 Oct 2025,,
Long Term Investing,Stock,ADRO,SELL,"1,745",9,"Rp1,570,500.00",13 Oct 2025,ADRODADARO ENERGY INDONESIA TBK,
